card_name,set_id,set_name,card_number,card_market_value,binder_name,page_number,slot_number,index
Alakazam,base4,Base Set 2,1,37.01,2,1,1,2_1_1
Blastoise,base4,Base Set 2,2,107.85,2,1,2,2_1_2
Chansey,base4,Base Set 2,3,14.71,2,1,3,2_1_3
Charizard,base4,Base Set 2,4,304.88,2,1,4,2_1_4
Clefable,base4,Base Set 2,5,13.97,2,1,5,2_1_5
Clefairy,base4,Base Set 2,6,10.79,2,1,6,2_1_6
Gyarados,base4,Base Set 2,7,26.94,2,1,7,2_1_7
Hitmonchan,base4,Base Set 2,8,21.21,2,1,8,2_1_8
Magneton,base4,Base Set 2,9,12.14,2,1,9,2_1_9
Mewtwo,base4,Base Set 2,10,40.96,2,2,1,2_2_1
Nidoking,base4,Base Set 2,11,24.14,2,2,2,2_2_2
Nidoqueen,base4,Base Set 2,12,23.02,2,2,3,2_2_3
Ninetales,base4,Base Set 2,13,21.49,2,2,4,2_2_4
Pidgeot,base4,Base Set 2,14,27.41,2,2,5,2_2_5
Poliwrath,base4,Base Set 2,15,13.35,2,2,6,2_2_6
Raichu,base4,Base Set 2,16,33.18,2,2,7,2_2_7
Scyther,base4,Base Set 2,17,24.6,2,2,8,2_2_8
Venusaur,base4,Base Set 2,18,73.77,2,2,9,2_2_9
Wigglytuff,base4,Base Set 2,19,11.0,2,3,1,2_3_1
Zapdos,base4,Base Set 2,20,24.31,2,3,2,2_3_2
Beedrill,base4,Base Set 2,21,1.96,2,3,3,2_3_3
Dragonair,base4,Base Set 2,22,8.58,2,3,4,2_3_4
Dugtrio,base4,Base Set 2,23,3.3,2,3,5,2_3_5
Electabuzz,base4,Base Set 2,24,3.17,2,3,6,2_3_6
Electrode,base4,Base Set 2,25,3.87,2,3,7,2_3_7
Kangaskhan,base4,Base Set 2,26,3.15,2,3,8,2_3_8
Mr. Mime,base4,Base Set 2,27,6.03,2,3,9,2_3_9
Pidgeotto,base4,Base Set 2,28,3.72,2,4,1,2_4_1
Pinsir,base4,Base Set 2,29,3.35,2,4,2,2_4_2
Snorlax,base4,Base Set 2,30,9.34,2,4,3,2_4_3
Venomoth,base4,Base Set 2,31,3.31,2,4,4,2_4_4
Victreebel,base4,Base Set 2,32,2.8,2,4,5,2_4_5
Arcanine,base4,Base Set 2,33,2.1,2,4,6,2_4_6
Butterfree,base4,Base Set 2,34,1.58,2,4,7,2_4_7
Charmeleon,base4,Base Set 2,35,1.73,2,4,8,2_4_8
Dewgong,base4,Base Set 2,36,1.23,2,4,9,2_4_9
Dodrio,base4,Base Set 2,37,1.8,2,5,1,2_5_1
Dratini,base4,Base Set 2,38,0.99,2,5,2,2_5_2
Exeggutor,base4,Base Set 2,39,1.18,2,5,3,2_5_3
Farfetch'd,base4,Base Set 2,40,0.5,2,5,4,2_5_4
Fearow,base4,Base Set 2,41,1.32,2,5,5,2_5_5
Growlithe,base4,Base Set 2,42,1.21,2,5,6,2_5_6
Haunter,base4,Base Set 2,43,0.84,2,5,7,2_5_7
Ivysaur,base4,Base Set 2,44,3.6,2,5,8,2_5_8
Jynx,base4,Base Set 2,45,0.6,2,5,9,2_5_9
Kadabra,base4,Base Set 2,46,1.24,2,6,1,2_6_1
Kakuna,base4,Base Set 2,47,0.71,2,6,2,2_6_2
Lickitung,base4,Base Set 2,48,1.3,2,6,3,2_6_3
Machoke,base4,Base Set 2,49,0.54,2,6,4,2_6_4
Magikarp,base4,Base Set 2,50,0.9,2,6,5,2_6_5
Magmar,base4,Base Set 2,51,1.08,2,6,6,2_6_6
Marowak,base4,Base Set 2,52,1.87,2,6,7,2_6_7
Nidorina,base4,Base Set 2,53,0.62,2,6,8,2_6_8
Nidorino,base4,Base Set 2,54,1.55,2,6,9,2_6_9
Parasect,base4,Base Set 2,55,0.9,2,7,1,2_7_1
Persian,base4,Base Set 2,56,1.7,2,7,2,2_7_2
Poliwhirl,base4,Base Set 2,57,0.92,2,7,3,2_7_3
Raticate,base4,Base Set 2,58,0.9,2,7,4,2_7_4
Rhydon,base4,Base Set 2,59,1.8,2,7,5,2_7_5
Seaking,base4,Base Set 2,60,0.59,2,7,6,2_7_6
Seel,base4,Base Set 2,61,0.62,2,7,7,2_7_7
Tauros,base4,Base Set 2,62,2.96,2,7,8,2_7_8
Wartortle,base4,Base Set 2,63,1.74,2,7,9,2_7_9
Weepinbell,base4,Base Set 2,64,1.21,2,8,1,2_8_1
Abra,base4,Base Set 2,65,0.42,2,8,2,2_8_2
Bellsprout,base4,Base Set 2,66,0.44,2,8,3,2_8_3
Bulbasaur,base4,Base Set 2,67,2.24,2,8,4,2_8_4
Caterpie,base4,Base Set 2,68,0.43,2,8,5,2_8_5
Charmander,base4,Base Set 2,69,1.15,2,8,6,2_8_6
Cubone,base4,Base Set 2,70,0.81,2,8,7,2_8_7
Diglett,base4,Base Set 2,71,0.38,2,8,8,2_8_8
Doduo,base4,Base Set 2,72,0.44,2,8,9,2_8_9
Drowzee,base4,Base Set 2,73,0.44,2,9,1,2_9_1
Exeggcute,base4,Base Set 2,74,0.5,2,9,2,2_9_2
Gastly,base4,Base Set 2,75,0.47,2,9,3,2_9_3
Goldeen,base4,Base Set 2,76,0.38,2,9,4,2_9_4
Jigglypuff,base4,Base Set 2,77,0.74,2,9,5,2_9_5
Machop,base4,Base Set 2,78,0.42,2,9,6,2_9_6
Magnemite,base4,Base Set 2,79,0.39,2,9,7,2_9_7
Meowth,base4,Base Set 2,80,0.55,2,9,8,2_9_8
Metapod,base4,Base Set 2,81,0.43,2,9,9,2_9_9
Nidoran ♀,base4,Base Set 2,82,0.47,2,10,1,2_10_1
